,features,score
0,BLGR_2sigma_p_dev_p,0.010010153627961245
1,up_cnt_rolling5_5.0,0.010504497761718764
2,up_cnt_rolling5_2.0,0.016271129253687105
3,wd_Wednesday,0.016314504090158725
4,RCI9_m,0.017261751149690755
5,wd_Thursday,0.019574683202055597
6,BLGR_sigma_m_dev_m,0.021946815916154338
7,box_length,0.02259155408159801
8,wd_Monday,0.023617271115897787
9,wd_Friday,0.02468110699809251
10,up_flg,0.025111549035894375
11,RCI9_slope_m,0.025842508642837568
12,up_cnt_rolling5_3.0,0.02586467004699383
13,MA25_slope_p,0.02611134070040379
14,MA50_slope_p,0.026437243802668337
15,up_cnt_rolling5_0.0,0.027339774722000585
16,MA25_dev_p,0.027828066075923592
17,RSI_slope,0.02817850224475315
18,MA25_dev_m,0.028261872670879748
19,BLGR_sigma_p_dev_m,0.028533925974305555
20,RCI9_p,0.02854269110976286
21,down_flg,0.028566617862086262
22,RCI9_slope_p,0.028964358129507036
23,MA75_slope_p,0.029745523650340448
24,up_must_length,0.030218941517528977
25,BLGR_2sigma_m_dev_m,0.03035754016311403
26,down_must_length,0.03073045314836213
27,MA75_slope_m,0.030747901310820894
28,BLGR_sigma_p_dev_p,0.0316128807727807
29,up_cnt_rolling5_4.0,0.03204487518467738
30,up_cnt_rolling5_1.0,0.03255409104050504
31,BLGR_sigma_m_dev_p,0.03305328247082092
32,MA50_slope_m,0.03342654306309665
33,MA25_slope_m,0.0355687606238729
34,RSI,0.03685355587261797
35,BLGR_2sigma_m_dev_p,0.0371657854035748
36,BLGR_2sigma_p_dev_m,0.03756327756285559
